agno|fecha_bbdd|codigo_bbdd|grado|cod_reg|nom_reg|cod_pro|nom_pro|cod_com|nom_com|cod_deprov|nom_deprov|nalu_lect8b_com|nalu_mate8b_com|nalu_nat8b_com|prom_lect8b_com|prom_mate8b_com|prom_nat8b_com|dif_lect8b_com|dif_mate8b_com|dif_nat8b_com|sigdif_lect8b_com|sigdif_mate8b_com|sigdif_nat8b_com
2015|20160908|"final20160908v1"|"8b"|3|"ATACAMA"|2|"CHAÑARAL"|2|"CHAÑARAL"|1|"COPIAPÓ - CHAÑARAL"|181|177|177|235|229|238|1|-11|-7|0|-1|0
2015|20160908|"final20160908v1"|"8b"|8|"BIOBÍO"|1|"CONCEPCIÓN"|22|"CHIGUAYANTE"|3|"CONCEPCIÓN"|1051|1057|1053|246|274|272|5|7|-8|0|1|-1
2015|20160908|"final20160908v1"|"8b"|11|"AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO"|4|"GENERAL CARRERA"|2|"CHILE CHICO"|1|"COYHAIQUE"|60|60|60|243|264|274|53|32|20|1|1|1
2015|20160908|"final20160908v1"|"8b"|8|"BIOBÍO"|4|"ÑUBLE"|35|"CHILLÁN"|4|"ÑUBLE"|2583|2648|2635|245|268|269|2|4|-9|0|0|-1
2015|20160908|"final20160908v1"|"8b"|8|"BIOBÍO"|4|"ÑUBLE"|36|"CHILLÁN VIEJO"|4|"ÑUBLE"|288|297|296|237|249|255|||-5|||0
2015|20160908|"final20160908v1"|"8b"|6|"LIBERTADOR GENERAL BERNARDO O'HIGGINS"|3|"COLCHAGUA"|24|"CHIMBARONGO"|3|"COLCHAGUA"|479|485|483|239|257|261|-7|1|-13|0|0|-1
2015|20160908|"final20160908v1"|"8b"|9|"LA ARAUCANÍA"|1|"CAUTÍN"|2|"CHOLCHOL"|1|"CAUTÍN NORTE"|153|148|151|226|229|232|12|6|-10|1|0|0
2015|20160908|"final20160908v1"|"8b"|10|"LOS LAGOS"|2|"CHILOÉ"|3|"CHONCHI"|1|"CHILOÉ"|193|190|188|256|256|256|23|12|7|1|1|0
2015|20160908|"final20160908v1"|"8b"|6|"LIBERTADOR GENERAL BERNARDO O'HIGGINS"|3|"COLCHAGUA"|25|"CHÉPICA"|3|"COLCHAGUA"|137|136|137|242|260|266|16|21|-8|1|1|0
2015|20160908|"final20160908v1"|"8b"|11|"AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO"|2|"AISÉN"|3|"CISNES"|1|"COYHAIQUE"|70|67|65|218|240|246|-18|-7|-26|-1|0|-1
