agno|fecha_bbdd|codigo_bbdd|grado|cod_reg|nom_reg|cod_pro|nom_pro|cod_com|nom_com|cod_deprov|nom_deprov|nalu_lect2b_com|prom_lect2b_com|dif_lect2b_com|sigdif_lect2b_com
2015|20160908|"final20160908v1"|"2b"|6|"LIBERTADOR GENERAL BERNARDO O'HIGGINS"|1|"CACHAPOAL"|2|"COINCO"|1|"CACHAPOAL"|54|237|4|0
2015|20160908|"final20160908v1"|"2b"|7|"MAULE"|4|"LINARES"|13|"COLBÚN"|3|"LINARES"|276|248|4|0
2015|20160908|"final20160908v1"|"2b"|1|"TARAPACÁ"|4|"TAMARUGAL"|4|"COLCHANE"|2|"TAMARUGAL"|9|220|31|1
2015|20160908|"final20160908v1"|"2b"|13|"METROPOLITANA DE SANTIAGO"|3|"CHACABUCO"|10|"COLINA"|3|"SANTIAGO NORTE"|2238|262|1|0
2015|20160908|"final20160908v1"|"2b"|9|"LA ARAUCANÍA"|2|"MALLECO"|23|"COLLIPULLI"|3|"MALLECO"|374|238|-8|0
2015|20160908|"final20160908v1"|"2b"|6|"LIBERTADOR GENERAL BERNARDO O'HIGGINS"|1|"CACHAPOAL"|3|"COLTAUCO"|1|"CACHAPOAL"|238|246|-2|0
2015|20160908|"final20160908v1"|"2b"|4|"COQUIMBO"|3|"LIMARÍ"|11|"COMBARBALÁ"|3|"LIMARÍ"|173|246|1|0
2015|20160908|"final20160908v1"|"2b"|8|"BIOBÍO"|1|"CONCEPCIÓN"|23|"CONCEPCIÓN"|3|"CONCEPCIÓN"|2458|262|-2|0
2015|20160908|"final20160908v1"|"2b"|13|"METROPOLITANA DE SANTIAGO"|1|"SANTIAGO"|11|"CONCHALÍ"|3|"SANTIAGO NORTE"|1613|247|1|0
2015|20160908|"final20160908v1"|"2b"|5|"VALPARAÍSO"|1|"VALPARAÍSO"|30|"CONCÓN"|4|"VALPARAÍSO"|513|265|7|0
2015|20160908|"final20160908v1"|"2b"|7|"MAULE"|1|"TALCA"|21|"CONSTITUCIÓN"|4|"TALCA"|595|262|-11|-1
2015|20160908|"final20160908v1"|"2b"|8|"BIOBÍO"|2|"ARAUCO"|3|"CONTULMO"|1|"ARAUCO"|78|270|4|0
2015|20160908|"final20160908v1"|"2b"|3|"ATACAMA"|1|"COPIAPÓ"|3|"COPIAPÓ"|1|"COPIAPÓ - CHAÑARAL"|2221|246|-9|-1
2015|20160908|"final20160908v1"|"2b"|4|"COQUIMBO"|1|"ELQUI"|6|"COQUIMBO"|2|"ELQUI"|2590|250|-2|0
2015|20160908|"final20160908v1"|"2b"|8|"BIOBÍO"|1|"CONCEPCIÓN"|24|"CORONEL"|3|"CONCEPCIÓN"|1415|252|-5|0
2015|20160908|"final20160908v1"|"2b"|14|"LOS RÍOS"|1|"VALDIVIA"|5|"CORRAL"|2|"VALDIVIA"|71|239|-2|0
2015|20160908|"final20160908v1"|"2b"|9|"LA ARAUCANÍA"|1|"CAUTÍN"|3|"CUNCO"|1|"CAUTÍN NORTE"|191|240|-3|0
2015|20160908|"final20160908v1"|"2b"|9|"LA ARAUCANÍA"|2|"MALLECO"|24|"CURACAUTÍN"|3|"MALLECO"|222|236|-2|0
2015|20160908|"final20160908v1"|"2b"|13|"METROPOLITANA DE SANTIAGO"|5|"MELIPILLA"|44|"CURACAVÍ"|7|"TALAGANTE"|389|245|-5|0
2015|20160908|"final20160908v1"|"2b"|10|"LOS LAGOS"|2|"CHILOÉ"|4|"CURACO DE VÉLEZ"|1|"CHILOÉ"|38|266|7|0
